,importance
search_fang_di_chan_kai_fa_pc_all_lag1,402615283.0
land_planned_building_area_diff3,401792153.5
search_fang_jia_tiao_kong_pc_all_pctchg3,397687993.0
search_an_zhi_pc_all_lag2,396865479.0
search_an_zhi_pc_all_lag12,387635112.0
search_gou_fang_pc_all_pctchg12,385741862.0
landnbr_transaction_amount_nearby_sectors_diff12,382672999.5
search_luo_hu_pc_all_diff1,380914526.0
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_lag12,380233373.5
nh_total_price_per_unit_new_house_transactions_diff12,379209432.0
search_xian_gou_yi_dong_all_diff3,377896726.5
search_qu_xiao_xian_gou_pc_all_lag6,374177038.0
land_transaction_amount_diff3,374058725.0
search_xian_gou_yi_dong_all_lag2,373440144.0
search_gong_ji_jin_yi_dong_all_lag6,372420363.0
search_xian_shou_yi_dong_all_pctchg3,369229370.5
nh_area_per_unit_new_house_transactions_roll3_min,369140513.5
search_peng_hu_qu_yi_dong_all_pctchg12,367202223.5
search_fang_wu_zhuang_xiu_pc_all,363907989.0
search_shou_fu_yi_dong_all_lag6,362439293.5
nh_total_price_per_unit_new_house_transactions_pctchg12,361215411.5
search_xue_qu_fang_pc_all_pctchg1,359830379.0
search_qu_ku_cun_pc_all_pctchg3,359443316.0
search_peng_hu_qu_gai_zao_pc_all_lag12,357849061.0
nhnbr_area_new_house_available_for_sale_nearby_sectors_pctchg3,356790758.0
search_rong_zi_yi_dong_all_pctchg1,355850960.0
ponbr_area_pre_owned_house_transactions_nearby_sectors_diff12,354486417.0
nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors_diff3,352325296.0
search_mai_fang_pc_all_lag1,349628754.0
land_transaction_amount_pctchg3,348550500.0
search_an_zhi_pc_all_pctchg3,348516641.0
po_amount_pre_owned_house_transactions_pctchg1,347826180.0
search_mai_fang_yi_dong_all_lag12,343474446.5
search_fang_jia_shang_zhang_pc_all_pctchg1,342758973.5
search_fang_wu_zhuang_xiu_pc_all_lag3,338457504.5
search_xian_gou_yi_dong_all_lag1,338260953.0
search_shui_fei_yi_dong_all_pctchg12,336987475.0
search_qu_ku_cun_yi_dong_all,335107431.5
search_peng_hu_qu_gai_zao_yi_dong_all_diff1,329532255.0
search_xian_gou_pc_all_lag3,329422186.0
search_fang_wu_zhuang_xiu_pc_all_lag6,329378698.0
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_ewm_alpha0.5,328296006.5
nh_area_per_unit_new_house_transactions_diff12,322622002.0
nhnbr_period_new_house_sell_through_nearby_sectors_ewm_alpha0.5,322426002.0
search_fang_di_chan_kai_fa_pc_all_diff1,321974037.0
search_fang_di_chan_kai_fa_pc_all_lag12,320831272.0
nhnbr_period_new_house_sell_through_nearby_sectors_roll6_std,320531433.0
search_gou_fang_pc_all_lag2,320439130.5
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_pctchg1,318182359.0
search_xue_qu_fang_yi_dong_all_lag12,317563565.0
landnbr_num_land_transactions_nearby_sectors_roll6_max,314996111.5
search_shui_fei_yi_dong_all_lag1,314395796.0
landnbr_transaction_amount_nearby_sectors_pctchg1,311834638.0
po_price_pre_owned_house_transactions_roll6_std,307665755.5
search_xian_shou_yi_dong_all_lag2,306657504.0
search_xian_gou_yi_dong_all_pctchg1,303360894.5
search_fang_dai_pc_all_lag6,301553208.0
search_fang_jia_pc_all_lag2,300148131.5
search_fang_di_chan_shui_pc_all_pctchg3,300084013.5
search_fang_jia_zou_shi_yi_dong_all_lag1,299052762.0
search_fang_jia_shang_zhang_pc_all_lag1,297860949.0
search_qu_xiao_xian_gou_pc_all_lag1,295991018.5
search_xian_shou_yi_dong_all_diff1,295624618.0
search_peng_hu_qu_yi_dong_all_lag12,293496563.5
nh_period_new_house_sell_through_diff12,291580052.0
search_fang_wu_zhuang_xiu_yi_dong_all_lag3,290262318.0
po_amount_pre_owned_house_transactions_pctchg12,289990136.5
nhnbr_amount_new_house_transactions_nearby_sectors_lag6,287872419.0
po_num_pre_owned_house_transactions_pctchg12,287505614.0
search_shui_fei_pc_all_lag3,285609304.0
landnbr_transaction_amount_nearby_sectors_roll6_max,282651672.5
macro_urban_consumer_price_index_previous_year_100_yoy_diff12,280187488.0
search_shui_fei_yi_dong_all_pctchg3,280053222.5
search_fang_di_chan_kai_fa_pc_all_lag6,276544246.0
nhnbr_area_new_house_available_for_sale_nearby_sectors_roll6_std,276432985.5
search_gong_ji_jin_pc_all_lag2,273558875.5
nhnbr_period_new_house_sell_through_nearby_sectors_roll3_std,271801615.0
search_xian_shou_pc_all_lag6,270648011.5
search_peng_hu_qu_yi_dong_all_pctchg1,268310923.0
search_fang_jia_zou_shi_yi_dong_all_lag12,267611025.0
search_peng_hu_qu_pc_all,266393877.0
search_gong_ji_jin_yi_dong_all_lag1,265515579.0
search_xian_gou_yi_dong_all_lag3,261691294.0
search_fang_dai_pc_all_lag2,261598258.5
search_qi_shui_yi_dong_all_pctchg3,261550124.0
search_gong_ji_jin_pc_all,260994713.5
search_fang_jia_xia_die_yi_dong_all_lag1,260854118.5
search_mai_fang_yi_dong_all_pctchg1,259774992.0
search_shou_fu_pc_all_pctchg1,257425646.0
search_fang_jia_yi_dong_all_lag6,257346866.0
search_luo_hu_yi_dong_all_pctchg1,255715008.0
search_qu_ku_cun_yi_dong_all_lag12,254817779.5
search_gou_fang_pc_all_pctchg3,253444784.0
search_an_zhi_yi_dong_all_lag6,250673636.0
search_fang_jia_shang_zhang_pc_all_lag12,250648159.5
search_dai_kuan_li_lv_yi_dong_all_pctchg3,250273803.0
search_luo_hu_yi_dong_all_pctchg3,249600396.5
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_roll6_min,245482675.0
nh_total_price_per_unit_new_house_transactions_pctchg3,244897363.0
search_qi_shui_pc_all_lag2,243597076.0
search_shou_fu_yi_dong_all_lag1,241519260.5
search_peng_hu_qu_yi_dong_all_lag1,239469829.0
nhnbr_period_new_house_sell_through_nearby_sectors_pctchg12,237621247.5
search_fang_dai_pc_all_lag12,237207161.0
search_rong_zi_pc_all_lag3,237185829.0
search_fang_jia_tiao_kong_pc_all_lag2,236858096.0
po_amount_pre_owned_house_transactions_roll3_std,236595542.5
search_shou_fu_pc_all_pctchg12,236075363.5
search_fang_di_chan_shui_yi_dong_all_pctchg1,235806489.0
search_gong_ji_jin_yi_dong_all_pctchg1,234866032.0
search_fang_jia_tiao_kong_yi_dong_all_pctchg1,233841457.0
search_qi_shui_yi_dong_all_lag2,231384581.5
